NM_CURSO,count
Direito,3682
Administração,3490
Letras,3318
Educação Física,2972
Engenharia de Produção,2689
Ciências Econômicas,2659
Pedagogia,2626
Ciências Contábeis,2551
Geografia,2077
Engenharia Química,2059
Agronomia,2055
Ciências Biológicas,1962
Matemática,1905
Química,1901
Psicologia,1891
Engenharia Civil,1883
História,1785
Zootecnia,1739
Farmácia,1617
Física,1326
Ciências Sociais,1063
Medicina Veterinária - CAU,1012
Ciência da Computação,985
Enfermagem,970
Engenharia Mecânica,959
Odontologia,952
Agronomia - CAU,950
Informática,949
Medicina,938
Arquitetura e Urbanismo,924
Engenharia de Alimentos,902
Pedagogia - CRC,883
Tecnologia em Alimentos - CAU,883
Secretariado Executivo Trilíngue,846
Ciências Contábeis - CRC,820
Filosofia,808
Design - CRC,786
Moda - CRC,783
Tecnologia em Construção Civil - CAU,739
Estatística,735
Tecnologia em Meio Ambiente - CAU,648
Engenharia Têxtil - CRG,624
Engenharia Agrícola  - CAR,620
Música,492
Licenciatura Plena em Ciências,362
